Do you have a mobile device with Internet connection?,Do you use the mobile device for your studies?,What type of mobile device do you own?,Gender,How often do you use the mobile device for your studies?,Do you use mobile learning for college studies or self-study?,"If you use mobile learning for college preparation, what is the main reason? (Select all that apply)",Where do you typically use your mobile device for your studies? (Select all that apply),What do you consider as negative features of mobile devices? (Select all that apply),I find mobile learning resources helpful for my studies.,I feel comfortable using mobile devices for educational purposes.,I believe mobile learning enhances my learning experience.,I prefer mobile learning over traditional classroom methods.,I encounter technical difficulties while using mobile learning platforms.,Applications,LMS courses,Other (please specify),Web pages
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21260168349954067,-0.2120224792586333,1.7132217180883125,1.5596179845779778
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.5315705960042157,0.2793100168310709,-1.0106846519223107,0.40952314243350935
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.324709230775311,-0.22634505844604874,0.17647779281064208,0.2947939886695064
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.27662531965592085,-2.4302629360398966,0.24253137629953217,0.05303527785229937
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.8440025105746359,-0.7062567582447195,1.6563243361786992,-0.9484116813182479
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-0.24312466110776812,1.3122940788749815,0.3670755223070076,0.3778066456861528
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.07586702586872382,0.042314244651359585,1.1724398728536602,-0.40201608300307234
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.35146212488668604,2.191777434244835,0.4281115620550021,0.4741303083627386
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.8232066262116474,1.3677203854407967,-0.5657506833276933,0.8972042914493858
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0373532463377038,-0.5112536486030731,0.5001420614274376,1.8664395209395144
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5140688084350542,-0.48949183798553986,2.0583930372715713,0.3871902735233576
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14430363439565091,0.9865955465980054,0.3349987431427236,-0.793399057892656
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5258726315202384,0.6479951830177965,0.07367409542629816,-0.03774716164840533
0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.7341200172065605,-0.1531902827356044,-0.7611028775112418,-1.1328096725536871
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.016544321365560506,0.6272034949318079,0.8355982926150541,0.618370936814567
0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2383690741805755,2.1941656906611087,0.18708438959497145,-0.6106960810733042
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.6127326597303793,0.6030219665596694,0.19303109955307665,1.3744415162201726
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.2589653696266416,-1.8339023891959807,-1.2012748524580181,-0.16665904547929547
0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.08896276417474414,1.2813990656536531,-0.14987354738999067,-0.1663205940892573
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5426574316382143,-1.9906451998867503,1.3263038018265674,0.3089415094097528
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5117383765320189,0.18120923119558,-2.5582243588152274,0.13726859879913347
0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.8839711197661723,-0.9335489395926372,-0.044948420250785756,-0.9856433767048164
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.5864960065470347,-2.268552370561103,-0.17222865109767974,-1.0596480322068682
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.141564309874853,1.0266897266197201,0.21104121056931813,0.4621536274464772
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7971160213709503,-0.17452674644839716,-1.0955170281403928,-0.14882248590789932
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.035413540680556174,0.15997340269969706,0.9818579643748075,-1.2352927676201435
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.404789300780645,0.3597398047972177,0.4153487066954426,0.066906811366419
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.7792559653999593,1.832357114017338,0.027378522996382056,1.7771639430275963
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.8591342523125765,0.8045812614574018,0.533503915106783,-1.6618138710793915
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0148865834386367,-0.887245508391117,0.5382824121454176,1.3921610732008838
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.38875453514293534,0.12506750679913728,-1.2137085173259572,-0.6636463750186202
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6854909247430417,-0.5646337139036873,-1.3358090986173878,-0.4046250604270181
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.27509213220577644,-1.28345605685795,-0.8260675397595976,0.4570910184561114
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.03794907958909133,-0.627121725452706,-0.3248342959436257,-0.6581768702344731
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.17723276803157853,0.6607932797212311,-1.1185357942845349,-1.0851961721226482
1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.6401345200158652,0.3077714494175837,-0.46038247696473705,0.8644741257797574
0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.29372359984102664,-0.3689929751009581,-0.7005342513791337,0.9718255571242288
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.2351196744441218,-0.7761986556414371,0.5583389575328124,-0.23507409609109406
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0333686233620498,-0.3978739204172997,-0.32762769619547766,-0.5592537823375839
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.342154616960416,-0.8095076291715104,2.440098508202908,-0.2698775267553389
1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8797236800532828,-0.2051031256831025,-1.094473560703272,-1.2669936181411772
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.5627602057223682,-0.38532839584302814,-1.1289976940226976,-0.9731751134734798
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.4294578521491076,0.6545720560365,0.26295982246479155,-0.3845404277009927
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3550509157620567,-2.4633373752578924,0.07875208239100019,0.3585784753091547
1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.8769291729722668,1.2414228056987542,0.31085140650480947,-2.105860430640299
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2375179539699203,0.09257482592095921,1.65696772915322,0.5606204967128822
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.7802600075446049,0.4759380667458133,-0.3597261756140693,-1.9377814523346655
1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.026303531540439015,0.9552099038167678,0.6799152725605275,-0.2133379023719622
1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7551753295054993,-1.0905409308844574,0.4918966731090248,0.5529494746063688
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.8297775909739509,0.38923017182465564,-1.3110273097348666,1.1332689499273474
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.9031755520132043,0.45592617559776727,0.3525915583972559,-0.07822182805260165
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.20466887777556053,-1.3799246088898722,1.0805499010691964,-0.365980586120282
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.11012955268649557,-0.724043988464872,0.7957347440136391,-2.9747407373645545
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.31654538435861507,0.22048783783001857,-0.3555821023811964,-0.0005074581820288148
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5310698034378905,-0.25975911346351305,0.28172033283782905,-0.46332174374247104
1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1728652155010356,1.891107928288593,0.06912799820807981,-0.13833549862701097
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.5838388155045896,1.4657537911409928,-3.3485170797855575,0.6276391757700981
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-2.531701495966464,0.5754267591083555,-1.8747670981722053,-0.5448405351280851
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5631193420847891,-0.31437301438463483,1.642407343919228,0.3200871201374466
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.6401250418397126,0.32200861629668964,0.5165962830897838,1.1649796707199693
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.8452528670135285,-0.28019925728437095,1.592928475939686,0.06593438446189129
1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.15705498350422234,0.32305891309269824,1.2628629304279033,0.9958928156272887
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.054694767049007234,-1.8419958152998537,-0.6745248213522248,1.8119533644520798
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.007875308811789978,-1.8232124587009737,-0.6832121934522446,0.4005220809740875
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-0.07217288807378741,-0.4616672980075473,-0.6423338587528867,-0.5101655669862301
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.22104889882114037,1.7472318360781907,1.020042278911508,0.30173425193307885
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.7078021255338568,0.1978717357569574,1.1181740974297734,0.19765189559042673
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.658080837303991,-0.4633429259225193,1.7293107950727697,0.6853696804988798
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.3817166294220606,1.7045988698012395,-0.17572279285325487,-2.0401106824824065
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.8379988938590477,1.8004744299950788,-0.11810712882044587,0.5314200595132215
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.9745728292932336,-0.052406321823182764,-1.4385671117624994,-0.9286605156059434
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.7796228875319524,0.2568893847065776,-2.5520665331956685,-0.09315961612608165
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.03412765068187818,-0.3989238063800726,0.06812194882350775,-0.3963974943323108
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5552112027135736,-0.06119047326528717,0.8005508033598508,-0.8802040420180467
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-2.891724320290896,0.7525237384572531,-0.07295252365973777,2.269193237980693
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8564479824054567,1.4237442939996432,0.6042240626362961,-0.2066465159877778
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.3380314402604678,1.0610017460047756,-0.5297058721937264,0.18963703983737326
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4173896350959478,-0.6235766604401916,-1.498500516453861,0.42387179202990843
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8628606089744604,0.032281683581748315,-0.35250774475740787,-0.52749175076423
0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.7404633787130916,0.28163664133502836,0.10150649644936273,-1.829122887847774
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.3851918432107628,1.6903617004070055,1.4753667527840078,0.09997838739303169
1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.40381529297036867,0.3836817085896818,-0.5425436136108186,0.5982580589644427
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.1016770325675291,-1.7445996709251086,1.6617963126877189,0.6237660983205812
0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.7797527337129471,3.3408799197559818,0.905034408713313,-0.5845504724971153
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.7278443492240346,-1.870489839058448,-0.48272447792924084,-0.2360778961744977
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.482138685033414,0.5883196720906149,1.473658921387589,0.02120875959022541
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-2.209134336513011,-0.07654593451854393,-0.32937932661970837,-0.5147204483010155
0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.12661874560457448,0.8054935655421115,1.6549622521144498,2.257946224703133
0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.575595176344541,-1.7127923111062708,-0.2526319584178371,-0.7453870709597319
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7597970733770123,-1.1648209650574912,-1.7375331981648476,0.9506552203136039
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.425120552176067,-0.2687918300551785,0.5426378263777968,0.42078383451498286
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024214289834203543,-1.1048976064410037,1.5062629597683996,0.8217991867424299
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.26867454085119996,0.34251064543348014,0.6563814598851541,-0.11903709390254184
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.7527041163721357,0.09972756267996219,-0.27944245009507707,1.3395247666596757
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.6809954619290907,-0.4492574681479327,0.089984020597924,1.150099488961456
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.6017617521951436,0.6436753069914503,-0.31390635237364534,0.4750201347822016
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.7120167460287267,0.26101452089225946,0.6143173800395652,-0.48579750725293197
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.870479966860142,0.022509967748328485,0.11416408036632875,0.5499643680730965
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.706224074455582,-0.34269224773884266,2.010157960965388,-2.7371102677431303
1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07800236687900304,0.9540193662875494,0.9170801463355975,0.9489235191498677
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.4340056223714316,0.9163436796804614,-0.08488191234231812,-0.19767911196530408
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.3427057740893482,-0.03191576830875691,1.35301342368992,-0.49211694288968505
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0392826741689272,-0.5559589881626043,-0.28149648421649837,-0.2082037076321522
0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.850361303108905,1.5131672708499366,-1.5274724466196863,-0.8633028526862179
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7201219465694146,-0.06968353926364032,-0.46925793330319915,0.7451196480977822
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.380887426694597,0.325631044487095,0.11897329914585193,0.8201420748094486
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.12558923505067768,2.0156086243183244,-1.0753626305281836,-0.33802898026905637
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4304153754596428,-1.2581640523770545,1.9222791157642969,0.7060137567919561
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.15374223769382808,-0.04438444283110812,-0.6077720648849703,0.11301360731724266
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.4860420470233173,-0.5711506676627761,1.6109188237476666,-1.582761874881543
0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1789409490698257,-0.5699537684382456,-1.647942985960367,1.407381311973672
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.153926626262233,-0.13839103837419883,-0.33161511159934703,-0.624206814863599
1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.33528054850603134,-0.5239902073671079,-0.7788492309919679,0.17225571058974315
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.3192251252597284,-1.2483644362876916,1.3604620825162497,1.408420299264543
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3671003294761018,-0.6082614133026267,1.400457106360673,0.6759643612811974
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.03320875964729865,-1.8653199574627797,0.031520621239487505,-0.8475280604823193
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3228778946167145,0.8543458941157778,-0.8885612721237187,1.2511862345169962
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4987708769041221,-1.2718899515049393,-2.115673611087472,0.08949120920797465
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5125628446749119,-1.2566827662017936,-0.17864596504793076,-3.3192923586991454
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0616497554292328,0.2482428027096532,-1.1504338392652476,0.42746419658480583
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.585972303381913,0.6503760411204423,0.20656989692933542,1.8477895993957247
